Condition	time point	p-value	t-value
high	0.10273437499999999	0.020000000000000018	2.0627472420429416
high	0.11249999999999999	0.00666666666666671	2.4895647421707716
high	0.7375	0.046666666666666745	1.6834417068750733
high	0.747265625	0.046666666666666745	1.6834417068750733
high	0.844921875	0.036666666666666736	1.797071423179137
high	0.8546875	0.036666666666666736	1.797071423179137
high	0.95234375	0.026666666666666727	1.9398891657341626
high	0.962109375	0.030000000000000027	1.8879558102266485
high	0.971875	0.030000000000000027	1.8879558102266485
