Condition	time point	p-value	t-value
high	-0.1609375	0.0	inf
high	-0.151171875	0.013333333333333308	2.227371488366429
high	-0.03398437500000001	0.036666666666666736	1.797071423179137
high	0.425	0.030000000000000027	1.8879558102266485
high	0.44453125	0.036666666666666736	1.797071423179137
high	0.532421875	0.013333333333333308	2.227371488366429
high	0.5421875	0.023333333333333317	1.997592229195553
high	0.9328125	0.026666666666666727	1.9398891657341626
high	0.95234375	0.036666666666666736	1.797071423179137
high	0.962109375	0.046666666666666745	1.6834417068750733
high	0.971875	0.030000000000000027	1.8879558102266485
high	0.981640625	0.040000000000000036	1.756656458005156
high	1.0109375	0.046666666666666745	1.6834417068750733
high	1.0890625	0.010000000000000009	2.33888392484682
