w1;w2;cooc
antilopo;antilopo;0
antilopo;leone;0
antilopo;rinoceronte;0
antilopo;leopardo;0
antilopo;coccodrillo;0
antilopo;delfino;0
antilopo;balena;0
antilopo;squalo;0
antilopo;medusa;0
antilopo;tricheco;0
antilopo;foca;0
antilopo;plancton;0
antilopo;merluzzo;0
antilopo;granchio;0
antilopo;tartaruga;0
antilopo;gufo;0
antilopo;corvo;0
antilopo;pettirosso;0
antilopo;albatro;0
antilopo;upupa;0
antilopo;gabbiano;0
antilopo;aquila;0
antilopo;anatra;0
antilopo;struzzo;0
antilopo;pinguino;0
antilopo;tavolo;0
antilopo;sedia;0
antilopo;divano;0
antilopo;scrivania;0
antilopo;armadio;0
antilopo;letto;0
antilopo;comodino;0
antilopo;sgabello;0
antilopo;poltrona;0
antilopo;scaffale;0
antilopo;martello;0
antilopo;trapano;0
antilopo;cacciavite;0
antilopo;chiodo;0
antilopo;ascia;0
antilopo;sega;0
antilopo;vite;0
antilopo;pinza;0
antilopo;scalpello;0
antilopo;cazzuola;0
antilopo;cucchiaio;0
antilopo;forchetta;0
antilopo;coltello;0
antilopo;piatto;0
antilopo;tazza;0
antilopo;pentola;0
antilopo;ciotola;0
antilopo;padella;0
antilopo;mattarello;0
antilopo;tagliere;0
antilopo;penna;0
antilopo;matita;0
antilopo;gomma;0
antilopo;carta;0
antilopo;busta;0
antilopo;evidenziatore;0
antilopo;righello;0
antilopo;pennello;0
antilopo;colla;0
antilopo;graffetta;0
antilopo;telefono;0
antilopo;radio;0
antilopo;computer;0
antilopo;frigorifero;0
antilopo;lavatrice;0
antilopo;lavastoviglie;0
antilopo;camera;0
antilopo;aspirapolvere;0
antilopo;microonda;0
antilopo;televisione;0
leone;cane;113
leone;gatto;109
leone;furetto;0
leone;criceto;0
leone;coniglio;42
leone;pappagallo;3
leone;camaleonte;2
leone;iguana;0
leone;topo;38
leone;canarino;0
leone;mucca;16
leone;capra;33
leone;pecora;100
leone;maiale;9
leone;bufalo;15
leone;pollo;7
leone;vitello;25
leone;agnello;138
leone;asino;40
leone;cavallo;96
leone;elefante;75
leone;zebra;48
leone;ippopotamo;27
leone;scimmia;25
leone;giraffa;51
leone;antilopo;0
leone;leone;644
leone;rinoceronte;15
leone;leopardo;68
leone;coccodrillo;33
leone;delfino;46
leone;balena;9
leone;squalo;3
leone;medusa;4
leone;tricheco;1
leone;foca;12
leone;plancton;0
leone;merluzzo;1
leone;granchio;8
leone;tartaruga;9
leone;gufo;1
leone;corvo;18
leone;pettirosso;2
leone;albatro;0
leone;upupa;0
leone;gabbiano;0
leone;aquila;140
leone;anatra;2
leone;struzzo;6
leone;pinguino;5
leone;tavolo;11
leone;sedia;5
leone;divano;2
leone;scrivania;5
leone;armadio;119
leone;letto;85
leone;comodino;0
leone;sgabello;1
leone;poltrona;5
leone;scaffale;0
leone;martello;2
leone;trapano;0
leone;cacciavite;0
leone;chiodo;1
leone;ascia;41
leone;sega;2
leone;vite;13
leone;pinza;1
leone;scalpello;0
leone;cazzuola;0
leone;cucchiaio;0
leone;forchetta;0
leone;coltello;6
leone;piatto;6
leone;tazza;1
leone;pentola;1
leone;ciotola;2
leone;padella;0
leone;mattarello;0
leone;tagliere;0
leone;penna;15
leone;matita;0
leone;gomma;3
leone;carta;18
leone;busta;6
leone;evidenziatore;0
leone;righello;3
leone;pennello;1
leone;colla;13
leone;graffetta;0
leone;telefono;18
leone;radio;18
leone;computer;8
leone;frigorifero;1
leone;lavatrice;0
leone;lavastoviglie;0
leone;camera;81
leone;aspirapolvere;0
leone;microonda;0
leone;televisione;13
rinoceronte;cane;7
rinoceronte;gatto;3
rinoceronte;furetto;0
rinoceronte;criceto;0
rinoceronte;coniglio;2
rinoceronte;pappagallo;0
rinoceronte;camaleonte;0
rinoceronte;iguana;2
rinoceronte;topo;1
rinoceronte;canarino;0
rinoceronte;mucca;1
rinoceronte;capra;0
rinoceronte;pecora;0
rinoceronte;maiale;0
rinoceronte;bufalo;11
rinoceronte;pollo;0
rinoceronte;vitello;0
rinoceronte;agnello;0
rinoceronte;asino;0
rinoceronte;cavallo;5
rinoceronte;elefante;64
rinoceronte;zebra;5
rinoceronte;ippopotamo;26
rinoceronte;scimmia;1
rinoceronte;giraffa;9
rinoceronte;antilopo;0
rinoceronte;leone;15
rinoceronte;rinoceronte;20
rinoceronte;leopardo;18
rinoceronte;coccodrillo;6
rinoceronte;delfino;1
rinoceronte;balena;1
rinoceronte;squalo;4
rinoceronte;medusa;0
rinoceronte;tricheco;0
rinoceronte;foca;1
rinoceronte;plancton;0
rinoceronte;merluzzo;0
rinoceronte;granchio;1
rinoceronte;tartaruga;4
rinoceronte;gufo;2
rinoceronte;corvo;0
rinoceronte;pettirosso;1
rinoceronte;albatro;0
rinoceronte;upupa;0
rinoceronte;gabbiano;0
rinoceronte;aquila;3
rinoceronte;anatra;0
rinoceronte;struzzo;0
rinoceronte;pinguino;2
rinoceronte;tavolo;0
rinoceronte;sedia;0
rinoceronte;divano;0
rinoceronte;scrivania;0
rinoceronte;armadio;0
rinoceronte;letto;0
rinoceronte;comodino;0
rinoceronte;sgabello;0
rinoceronte;poltrona;0
rinoceronte;scaffale;0
rinoceronte;martello;0
rinoceronte;trapano;0
rinoceronte;cacciavite;0
rinoceronte;chiodo;0
rinoceronte;ascia;0
rinoceronte;sega;0
rinoceronte;vite;0
rinoceronte;pinza;0
rinoceronte;scalpello;0
rinoceronte;cazzuola;0
rinoceronte;cucchiaio;0
rinoceronte;forchetta;0
rinoceronte;coltello;0
rinoceronte;piatto;0
rinoceronte;tazza;0
rinoceronte;pentola;0
rinoceronte;ciotola;0
rinoceronte;padella;0
rinoceronte;mattarello;0
rinoceronte;tagliere;0
rinoceronte;penna;0
rinoceronte;matita;0
rinoceronte;gomma;0
rinoceronte;carta;0
rinoceronte;busta;0
rinoceronte;evidenziatore;0
rinoceronte;righello;0
rinoceronte;pennello;0
rinoceronte;colla;0
rinoceronte;graffetta;0
rinoceronte;telefono;0
rinoceronte;radio;5
rinoceronte;computer;0
rinoceronte;frigorifero;0
rinoceronte;lavatrice;0
rinoceronte;lavastoviglie;0
rinoceronte;camera;0
rinoceronte;aspirapolvere;0
rinoceronte;microonda;0
rinoceronte;televisione;0
leopardo;cane;1
leopardo;gatto;13
leopardo;furetto;0
leopardo;criceto;0
leopardo;coniglio;0
leopardo;pappagallo;0
leopardo;camaleonte;1
leopardo;iguana;0
leopardo;topo;14
leopardo;canarino;2
leopardo;mucca;1
leopardo;capra;14
leopardo;pecora;12
leopardo;maiale;3
leopardo;bufalo;10
leopardo;pollo;0
leopardo;vitello;1
leopardo;agnello;5
leopardo;asino;1
leopardo;cavallo;6
leopardo;elefante;28
leopardo;zebra;9
leopardo;ippopotamo;5
leopardo;scimmia;6
leopardo;giraffa;5
leopardo;antilopo;0
leopardo;leone;68
leopardo;rinoceronte;18
leopardo;leopardo;25
leopardo;coccodrillo;2
leopardo;delfino;4
leopardo;balena;1
leopardo;squalo;3
leopardo;medusa;0
leopardo;tricheco;0
leopardo;foca;6
leopardo;plancton;0
leopardo;merluzzo;0
leopardo;granchio;0
leopardo;tartaruga;8
leopardo;gufo;0
leopardo;corvo;1
leopardo;pettirosso;0
leopardo;albatro;0
leopardo;upupa;0
leopardo;gabbiano;1
leopardo;aquila;3
leopardo;anatra;0
leopardo;struzzo;0
leopardo;pinguino;1
leopardo;tavolo;0
leopardo;sedia;0
leopardo;divano;2
leopardo;scrivania;0
leopardo;armadio;0
leopardo;letto;2
leopardo;comodino;0
leopardo;sgabello;0
leopardo;poltrona;2
leopardo;scaffale;0
leopardo;martello;0
leopardo;trapano;0
leopardo;cacciavite;0
leopardo;chiodo;0
leopardo;ascia;0
leopardo;sega;0
leopardo;vite;1
leopardo;pinza;0
leopardo;scalpello;0
leopardo;cazzuola;0
leopardo;cucchiaio;0
leopardo;forchetta;0
leopardo;coltello;0
leopardo;piatto;0
leopardo;tazza;0
leopardo;pentola;0
leopardo;ciotola;0
leopardo;padella;0
leopardo;mattarello;0
leopardo;tagliere;0
leopardo;penna;0
leopardo;matita;0
leopardo;gomma;0
leopardo;carta;0
leopardo;busta;0
leopardo;evidenziatore;0
leopardo;righello;0
leopardo;pennello;0
leopardo;colla;0
leopardo;graffetta;0
leopardo;telefono;1
leopardo;radio;2
leopardo;computer;1
leopardo;frigorifero;0
leopardo;lavatrice;0
leopardo;lavastoviglie;0
leopardo;camera;1
leopardo;aspirapolvere;0
leopardo;microonda;0
leopardo;televisione;1
coccodrillo;cane;10
coccodrillo;gatto;18
coccodrillo;furetto;1
coccodrillo;criceto;0
coccodrillo;coniglio;3
coccodrillo;pappagallo;2
coccodrillo;camaleonte;1
coccodrillo;iguana;7
coccodrillo;topo;0
coccodrillo;canarino;1
coccodrillo;mucca;2
coccodrillo;capra;3
coccodrillo;pecora;6
coccodrillo;maiale;4
coccodrillo;bufalo;4
coccodrillo;pollo;5
coccodrillo;vitello;7
coccodrillo;agnello;1
coccodrillo;asino;0
coccodrillo;cavallo;7
coccodrillo;elefante;33
coccodrillo;zebra;10
coccodrillo;ippopotamo;22
coccodrillo;scimmia;9
coccodrillo;giraffa;13
coccodrillo;antilopo;0
coccodrillo;leone;33
coccodrillo;rinoceronte;6
coccodrillo;leopardo;2
coccodrillo;coccodrillo;49
coccodrillo;delfino;1
coccodrillo;balena;4
coccodrillo;squalo;5
coccodrillo;medusa;0
coccodrillo;tricheco;1
coccodrillo;foca;2
coccodrillo;plancton;0
coccodrillo;merluzzo;2
coccodrillo;granchio;0
coccodrillo;tartaruga;26
coccodrillo;gufo;3
coccodrillo;corvo;0
coccodrillo;pettirosso;1
coccodrillo;albatro;0
coccodrillo;upupa;0
coccodrillo;gabbiano;3
coccodrillo;aquila;6
coccodrillo;anatra;9
coccodrillo;struzzo;21
coccodrillo;pinguino;6
coccodrillo;tavolo;0
coccodrillo;sedia;0
coccodrillo;divano;0
coccodrillo;scrivania;0
coccodrillo;armadio;0
coccodrillo;letto;4
coccodrillo;comodino;0
coccodrillo;sgabello;1
coccodrillo;poltrona;0
coccodrillo;scaffale;0
coccodrillo;martello;0
coccodrillo;trapano;1
coccodrillo;cacciavite;1
coccodrillo;chiodo;0
coccodrillo;ascia;0
coccodrillo;sega;0
coccodrillo;vite;3
coccodrillo;pinza;1
coccodrillo;scalpello;0
coccodrillo;cazzuola;0
coccodrillo;cucchiaio;0
coccodrillo;forchetta;0
coccodrillo;coltello;0
coccodrillo;piatto;4
coccodrillo;tazza;0
coccodrillo;pentola;0
coccodrillo;ciotola;0
coccodrillo;padella;0
coccodrillo;mattarello;0
coccodrillo;tagliere;0
coccodrillo;penna;0
coccodrillo;matita;0
coccodrillo;gomma;3
coccodrillo;carta;2
coccodrillo;busta;0
coccodrillo;evidenziatore;0
coccodrillo;righello;0
coccodrillo;pennello;0
coccodrillo;colla;1
coccodrillo;graffetta;0
coccodrillo;telefono;1
coccodrillo;radio;3
coccodrillo;computer;0
coccodrillo;frigorifero;3
coccodrillo;lavatrice;0
coccodrillo;lavastoviglie;0
coccodrillo;camera;1
coccodrillo;aspirapolvere;0
coccodrillo;microonda;0
coccodrillo;televisione;1
delfino;cane;9
delfino;gatto;10
delfino;furetto;0
delfino;criceto;0
delfino;coniglio;0
delfino;pappagallo;3
delfino;camaleonte;0
delfino;iguana;0
delfino;topo;0
delfino;canarino;1
delfino;mucca;1
delfino;capra;0
delfino;pecora;0
delfino;maiale;1
delfino;bufalo;0
delfino;pollo;1
delfino;vitello;0
delfino;agnello;42
delfino;asino;3
delfino;cavallo;34
delfino;elefante;10
delfino;zebra;0
delfino;ippopotamo;1
delfino;scimmia;0
delfino;giraffa;0
delfino;antilopo;0
delfino;leone;46
delfino;rinoceronte;1
delfino;leopardo;4
delfino;coccodrillo;1
delfino;delfino;110
delfino;balena;160
delfino;squalo;22
delfino;medusa;3
delfino;tricheco;0
delfino;foca;11
delfino;plancton;0
delfino;merluzzo;0
delfino;granchio;1
delfino;tartaruga;24
delfino;gufo;0
delfino;corvo;2
delfino;pettirosso;0
delfino;albatro;1
delfino;upupa;0
delfino;gabbiano;27
delfino;aquila;11
delfino;anatra;1
delfino;struzzo;3
delfino;pinguino;0
delfino;tavolo;2
delfino;sedia;1
delfino;divano;0
delfino;scrivania;0
delfino;armadio;0
delfino;letto;35
delfino;comodino;0
delfino;sgabello;0
delfino;poltrona;0
delfino;scaffale;0
delfino;martello;0
delfino;trapano;0
delfino;cacciavite;0
delfino;chiodo;0
delfino;ascia;1
delfino;sega;1
delfino;vite;1
delfino;pinza;0
delfino;scalpello;0
delfino;cazzuola;0
delfino;cucchiaio;0
delfino;forchetta;0
delfino;coltello;0
delfino;piatto;1
delfino;tazza;1
delfino;pentola;0
delfino;ciotola;0
delfino;padella;0
delfino;mattarello;0
delfino;tagliere;0
delfino;penna;0
delfino;matita;0
delfino;gomma;2
delfino;carta;2
delfino;busta;1
delfino;evidenziatore;0
delfino;righello;0
delfino;pennello;0
delfino;colla;1
delfino;graffetta;0
delfino;telefono;1
delfino;radio;6
delfino;computer;0
delfino;frigorifero;0
delfino;lavatrice;0
delfino;lavastoviglie;0
delfino;camera;40
delfino;aspirapolvere;0
delfino;microonda;0
delfino;televisione;2
balena;cane;11
balena;gatto;9
balena;furetto;0
balena;criceto;0
balena;coniglio;0
balena;pappagallo;0
balena;camaleonte;1
balena;iguana;0
balena;topo;2
balena;canarino;6
balena;mucca;1
balena;capra;2
balena;pecora;0
balena;maiale;0
balena;bufalo;0
balena;pollo;0
balena;vitello;0
balena;agnello;0
balena;asino;2
balena;cavallo;4
balena;elefante;20
balena;zebra;0
balena;ippopotamo;7
balena;scimmia;4
balena;giraffa;1
balena;antilopo;0
balena;leone;9
balena;rinoceronte;1
balena;leopardo;1
balena;coccodrillo;4
balena;delfino;160
balena;balena;58
balena;squalo;76
balena;medusa;1
balena;tricheco;4
balena;foca;24
balena;plancton;4
balena;merluzzo;2
balena;granchio;0
balena;tartaruga;10
balena;gufo;0
balena;corvo;0
balena;pettirosso;0
balena;albatro;1
balena;upupa;0
balena;gabbiano;2
balena;aquila;6
balena;anatra;0
balena;struzzo;0
balena;pinguino;0
balena;tavolo;2
balena;sedia;0
balena;divano;1
balena;scrivania;0
balena;armadio;0
balena;letto;4
balena;comodino;0
balena;sgabello;0
balena;poltrona;1
balena;scaffale;0
balena;martello;6
balena;trapano;0
balena;cacciavite;0
balena;chiodo;0
balena;ascia;0
balena;sega;0
balena;vite;1
balena;pinza;0
balena;scalpello;0
balena;cazzuola;0
balena;cucchiaio;1
balena;forchetta;0
balena;coltello;0
balena;piatto;0
balena;tazza;0
balena;pentola;0
balena;ciotola;0
balena;padella;0
balena;mattarello;0
balena;tagliere;0
balena;penna;1
balena;matita;0
balena;gomma;0
balena;carta;2
balena;busta;0
balena;evidenziatore;0
balena;righello;0
balena;pennello;0
balena;colla;0
balena;graffetta;0
balena;telefono;2
balena;radio;1
balena;computer;1
balena;frigorifero;2
balena;lavatrice;0
balena;lavastoviglie;0
balena;camera;1
balena;aspirapolvere;0
balena;microonda;0
balena;televisione;0
squalo;cane;15
squalo;gatto;6
squalo;furetto;0
squalo;criceto;0
squalo;coniglio;1
squalo;pappagallo;2
squalo;camaleonte;0
squalo;iguana;0
squalo;topo;0
squalo;canarino;1
squalo;mucca;2
squalo;capra;0
squalo;pecora;3
squalo;maiale;4
squalo;bufalo;0
squalo;pollo;0
squalo;vitello;0
squalo;agnello;2
squalo;asino;1
squalo;cavallo;5
squalo;elefante;74
squalo;zebra;6
squalo;ippopotamo;0
squalo;scimmia;0
squalo;giraffa;2
squalo;antilopo;0
squalo;leone;3
squalo;rinoceronte;4
squalo;leopardo;3
squalo;coccodrillo;5
squalo;delfino;22
squalo;balena;76
squalo;squalo;89
squalo;medusa;0
squalo;tricheco;2
squalo;foca;17
squalo;plancton;5
squalo;merluzzo;1
squalo;granchio;0
squalo;tartaruga;18
squalo;gufo;0
squalo;corvo;1
squalo;pettirosso;0
squalo;albatro;0
squalo;upupa;0
squalo;gabbiano;0
squalo;aquila;1
squalo;anatra;2
squalo;struzzo;1
squalo;pinguino;1
squalo;tavolo;0
squalo;sedia;0
squalo;divano;0
squalo;scrivania;0
squalo;armadio;0
squalo;letto;16
squalo;comodino;0
squalo;sgabello;0
squalo;poltrona;1
squalo;scaffale;0
squalo;martello;116
squalo;trapano;0
squalo;cacciavite;0
squalo;chiodo;0
squalo;ascia;1
squalo;sega;3
squalo;vite;1
squalo;pinza;0
squalo;scalpello;0
squalo;cazzuola;0
squalo;cucchiaio;0
squalo;forchetta;0
squalo;coltello;3
squalo;piatto;10
squalo;tazza;0
squalo;pentola;0
squalo;ciotola;0
squalo;padella;0
squalo;mattarello;0
squalo;tagliere;0
squalo;penna;0
squalo;matita;0
squalo;gomma;5
squalo;carta;0
squalo;busta;0
squalo;evidenziatore;0
squalo;righello;0
squalo;pennello;0
squalo;colla;0
squalo;graffetta;0
squalo;telefono;0
squalo;radio;0
squalo;computer;3
squalo;frigorifero;0
squalo;lavatrice;0
squalo;lavastoviglie;0
squalo;camera;1
squalo;aspirapolvere;0
squalo;microonda;0
squalo;televisione;1
medusa;cane;5
medusa;gatto;0
medusa;furetto;0
medusa;criceto;0
medusa;coniglio;3
medusa;pappagallo;0
medusa;camaleonte;0
medusa;iguana;0
medusa;topo;0
medusa;canarino;0
medusa;mucca;0
medusa;capra;0
medusa;pecora;0
medusa;maiale;0
medusa;bufalo;0
medusa;pollo;0
medusa;vitello;0
medusa;agnello;0
medusa;asino;0
medusa;cavallo;7
medusa;elefante;0
medusa;zebra;3
medusa;ippopotamo;0
medusa;scimmia;4
medusa;giraffa;1
medusa;antilopo;0
medusa;leone;4
medusa;rinoceronte;0
medusa;leopardo;0
medusa;coccodrillo;0
medusa;delfino;3
medusa;balena;1
medusa;squalo;0
medusa;medusa;61
medusa;tricheco;0
medusa;foca;0
medusa;plancton;2
medusa;merluzzo;0
medusa;granchio;0
medusa;tartaruga;1
medusa;gufo;0
medusa;corvo;0
medusa;pettirosso;0
medusa;albatro;0
medusa;upupa;0
medusa;gabbiano;0
medusa;aquila;2
medusa;anatra;0
medusa;struzzo;0
medusa;pinguino;0
medusa;tavolo;0
medusa;sedia;0
medusa;divano;3
medusa;scrivania;0
medusa;armadio;0
medusa;letto;5
medusa;comodino;0
medusa;sgabello;0
medusa;poltrona;0
medusa;scaffale;0
medusa;martello;0
medusa;trapano;0
medusa;cacciavite;0
medusa;chiodo;0
medusa;ascia;1
medusa;sega;0
medusa;vite;1
medusa;pinza;0
medusa;scalpello;0
medusa;cazzuola;0
medusa;cucchiaio;0
medusa;forchetta;0
medusa;coltello;0
medusa;piatto;0
medusa;tazza;0
medusa;pentola;0
medusa;ciotola;0
medusa;padella;0
medusa;mattarello;0
medusa;tagliere;0
medusa;penna;0
medusa;matita;0
medusa;gomma;1
medusa;carta;0
medusa;busta;0
medusa;evidenziatore;0
medusa;righello;0
medusa;pennello;1
medusa;colla;0
medusa;graffetta;0
medusa;telefono;1
medusa;radio;5
medusa;computer;0
medusa;frigorifero;0
medusa;lavatrice;0
medusa;lavastoviglie;0
medusa;camera;2
medusa;aspirapolvere;0
medusa;microonda;0
medusa;televisione;1
tricheco;cane;0
tricheco;gatto;0
tricheco;furetto;0
tricheco;criceto;0
tricheco;coniglio;0
tricheco;pappagallo;0
tricheco;camaleonte;0
tricheco;iguana;0
tricheco;topo;0
tricheco;canarino;0
tricheco;mucca;0
tricheco;capra;0
tricheco;pecora;0
tricheco;maiale;1
tricheco;bufalo;0
tricheco;pollo;0
tricheco;vitello;0
tricheco;agnello;0
tricheco;asino;0
tricheco;cavallo;0
tricheco;elefante;5
tricheco;zebra;1
tricheco;ippopotamo;0
tricheco;scimmia;0
tricheco;giraffa;0
tricheco;antilopo;0
tricheco;leone;1
tricheco;rinoceronte;0
tricheco;leopardo;0
tricheco;coccodrillo;1
tricheco;delfino;0
tricheco;balena;4
tricheco;squalo;2
tricheco;medusa;0
tricheco;tricheco;7
tricheco;foca;5
tricheco;plancton;0
tricheco;merluzzo;0
tricheco;granchio;0
tricheco;tartaruga;1
tricheco;gufo;0
tricheco;corvo;0
tricheco;pettirosso;0
tricheco;albatro;0
tricheco;upupa;0
tricheco;gabbiano;0
tricheco;aquila;0
tricheco;anatra;0
tricheco;struzzo;0
tricheco;pinguino;0
tricheco;tavolo;0
tricheco;sedia;1
tricheco;divano;0
tricheco;scrivania;0
tricheco;armadio;0
tricheco;letto;0
tricheco;comodino;0
tricheco;sgabello;0
tricheco;poltrona;0
tricheco;scaffale;0
tricheco;martello;0
tricheco;trapano;0
tricheco;cacciavite;0
tricheco;chiodo;0
tricheco;ascia;0
tricheco;sega;0
tricheco;vite;0
tricheco;pinza;0
tricheco;scalpello;0
tricheco;cazzuola;0
tricheco;cucchiaio;0
tricheco;forchetta;0
tricheco;coltello;0
tricheco;piatto;0
tricheco;tazza;0
tricheco;pentola;0
tricheco;ciotola;0
tricheco;padella;0
tricheco;mattarello;0
tricheco;tagliere;0
tricheco;penna;0
tricheco;matita;0
tricheco;gomma;0
tricheco;carta;0
tricheco;busta;0
tricheco;evidenziatore;0
tricheco;righello;0
tricheco;pennello;0
tricheco;colla;0
tricheco;graffetta;0
tricheco;telefono;0
tricheco;radio;0
tricheco;computer;0
tricheco;frigorifero;0
tricheco;lavatrice;0
tricheco;lavastoviglie;0
tricheco;camera;0
tricheco;aspirapolvere;0
tricheco;microonda;0
tricheco;televisione;0
foca;cane;6
foca;gatto;2
foca;furetto;1
foca;criceto;0
foca;coniglio;0
foca;pappagallo;0
foca;camaleonte;0
foca;iguana;0
foca;topo;1
foca;canarino;4
foca;mucca;1
foca;capra;1
foca;pecora;0
foca;maiale;2
foca;bufalo;0
foca;pollo;1
foca;vitello;1
foca;agnello;0
foca;asino;1
foca;cavallo;3
foca;elefante;4
foca;zebra;0
foca;ippopotamo;0
foca;scimmia;3
foca;giraffa;1
foca;antilopo;0
foca;leone;12
foca;rinoceronte;1
foca;leopardo;6
foca;coccodrillo;2
foca;delfino;11
foca;balena;24
foca;squalo;17
foca;medusa;0
foca;tricheco;5
foca;foca;50
foca;plancton;1
foca;merluzzo;13
foca;granchio;1
foca;tartaruga;13
foca;gufo;0
foca;corvo;0
foca;pettirosso;0
foca;albatro;0
foca;upupa;0
foca;gabbiano;3
foca;aquila;3
foca;anatra;0
foca;struzzo;1
foca;pinguino;7
foca;tavolo;2
foca;sedia;0
foca;divano;3
foca;scrivania;0
foca;armadio;0
foca;letto;4
foca;comodino;0
foca;sgabello;0
foca;poltrona;0
foca;scaffale;0
foca;martello;0
foca;trapano;0
foca;cacciavite;0
foca;chiodo;0
foca;ascia;0
foca;sega;1
foca;vite;0
foca;pinza;0
foca;scalpello;0
foca;cazzuola;0
foca;cucchiaio;1
foca;forchetta;0
foca;coltello;1
foca;piatto;0
foca;tazza;1
foca;pentola;1
foca;ciotola;0
foca;padella;0
foca;mattarello;0
foca;tagliere;0
foca;penna;0
foca;matita;0
foca;gomma;1
foca;carta;1
foca;busta;0
foca;evidenziatore;0
foca;righello;0
foca;pennello;0
foca;colla;0
foca;graffetta;0
foca;telefono;0
foca;radio;0
foca;computer;5
foca;frigorifero;0
foca;lavatrice;0
foca;lavastoviglie;0
foca;camera;1
foca;aspirapolvere;0
foca;microonda;0
foca;televisione;2
plancton;cane;0
plancton;gatto;1
plancton;furetto;0
plancton;criceto;0
plancton;coniglio;0
plancton;pappagallo;0
plancton;camaleonte;0
plancton;iguana;0
plancton;topo;0
plancton;canarino;0
plancton;mucca;0
plancton;capra;0
plancton;pecora;0
plancton;maiale;0
plancton;bufalo;0
plancton;pollo;0
plancton;vitello;0
plancton;agnello;0
plancton;asino;0
plancton;cavallo;0
plancton;elefante;2
plancton;zebra;0
plancton;ippopotamo;0
plancton;scimmia;0
plancton;giraffa;0
plancton;antilopo;0
plancton;leone;0
plancton;rinoceronte;0
plancton;leopardo;0
plancton;coccodrillo;0
plancton;delfino;0
plancton;balena;4
plancton;squalo;5
plancton;medusa;2
plancton;tricheco;0
plancton;foca;1
plancton;plancton;20
plancton;merluzzo;0
plancton;granchio;1
plancton;tartaruga;0
plancton;gufo;0
plancton;corvo;0
plancton;pettirosso;0
plancton;albatro;0
plancton;upupa;0
plancton;gabbiano;0
plancton;aquila;0
plancton;anatra;0
plancton;struzzo;0
plancton;pinguino;0
plancton;tavolo;0
plancton;sedia;0
plancton;divano;0
plancton;scrivania;0
plancton;armadio;0
plancton;letto;1
plancton;comodino;0
plancton;sgabello;0
plancton;poltrona;0
plancton;scaffale;0
plancton;martello;0
plancton;trapano;0
plancton;cacciavite;0
plancton;chiodo;0
plancton;ascia;2
plancton;sega;0
plancton;vite;0
plancton;pinza;0
plancton;scalpello;0
plancton;cazzuola;0
plancton;cucchiaio;0
plancton;forchetta;0
plancton;coltello;0
plancton;piatto;1
plancton;tazza;0
plancton;pentola;0
plancton;ciotola;0
plancton;padella;0
plancton;mattarello;0
plancton;tagliere;0
plancton;penna;0
plancton;matita;0
plancton;gomma;0
plancton;carta;0
plancton;busta;0
plancton;evidenziatore;0
plancton;righello;0
plancton;pennello;0
plancton;colla;0
plancton;graffetta;0
plancton;telefono;0
plancton;radio;0
plancton;computer;0
plancton;frigorifero;0
plancton;lavatrice;0
plancton;lavastoviglie;0
plancton;camera;0
plancton;aspirapolvere;0
plancton;microonda;0
plancton;televisione;0
merluzzo;cane;2
merluzzo;gatto;0
merluzzo;furetto;0
merluzzo;criceto;0
merluzzo;coniglio;1
merluzzo;pappagallo;0
merluzzo;camaleonte;0
merluzzo;iguana;0
merluzzo;topo;0
merluzzo;canarino;0
merluzzo;mucca;0
merluzzo;capra;0
merluzzo;pecora;0
merluzzo;maiale;3
merluzzo;bufalo;0
merluzzo;pollo;10
merluzzo;vitello;1
merluzzo;agnello;2
merluzzo;asino;0
merluzzo;cavallo;1
merluzzo;elefante;0
merluzzo;zebra;0
merluzzo;ippopotamo;0
merluzzo;scimmia;0
merluzzo;giraffa;0
merluzzo;antilopo;0
merluzzo;leone;1
merluzzo;rinoceronte;0
merluzzo;leopardo;0
merluzzo;coccodrillo;2
merluzzo;delfino;0
merluzzo;balena;2
merluzzo;squalo;1
merluzzo;medusa;0
merluzzo;tricheco;0
merluzzo;foca;13
merluzzo;plancton;0
merluzzo;merluzzo;24
merluzzo;granchio;5
merluzzo;tartaruga;0
merluzzo;gufo;0
merluzzo;corvo;0
merluzzo;pettirosso;0
merluzzo;albatro;0
merluzzo;upupa;0
merluzzo;gabbiano;0
merluzzo;aquila;0
merluzzo;anatra;0
merluzzo;struzzo;0
merluzzo;pinguino;0
merluzzo;tavolo;0
merluzzo;sedia;0
merluzzo;divano;0
merluzzo;scrivania;0
merluzzo;armadio;0
merluzzo;letto;6
merluzzo;comodino;0
merluzzo;sgabello;0
merluzzo;poltrona;0
merluzzo;scaffale;0
merluzzo;martello;0
merluzzo;trapano;0
merluzzo;cacciavite;0
merluzzo;chiodo;0
merluzzo;ascia;1
merluzzo;sega;0
merluzzo;vite;0
merluzzo;pinza;0
merluzzo;scalpello;0
merluzzo;cazzuola;0
merluzzo;cucchiaio;5
merluzzo;forchetta;0
merluzzo;coltello;0
merluzzo;piatto;22
merluzzo;tazza;9
merluzzo;pentola;3
merluzzo;ciotola;0
merluzzo;padella;4
merluzzo;mattarello;0
merluzzo;tagliere;0
merluzzo;penna;0
merluzzo;matita;0
merluzzo;gomma;0
merluzzo;carta;0
merluzzo;busta;1
merluzzo;evidenziatore;0
merluzzo;righello;0
merluzzo;pennello;0
merluzzo;colla;0
merluzzo;graffetta;0
merluzzo;telefono;0
merluzzo;radio;0
merluzzo;computer;0
