w1;w2;cooc
furetto;ciotola;0
furetto;padella;0
furetto;mattarello;0
furetto;tagliere;0
furetto;penna;1
furetto;matita;0
furetto;gomma;1
furetto;carta;0
furetto;busta;0
furetto;evidenziatore;0
furetto;righello;0
furetto;pennello;0
furetto;colla;0
furetto;graffetta;0
furetto;telefono;0
furetto;radio;0
furetto;computer;0
furetto;frigorifero;0
furetto;lavatrice;0
furetto;lavastoviglie;0
furetto;camera;0
furetto;aspirapolvere;0
furetto;microonda;0
furetto;televisione;0
criceto;cane;24
criceto;gatto;23
criceto;furetto;3
criceto;criceto;42
criceto;coniglio;4
criceto;pappagallo;3
criceto;camaleonte;0
criceto;iguana;0
criceto;topo;12
criceto;canarino;10
criceto;mucca;0
criceto;capra;2
criceto;pecora;1
criceto;maiale;3
criceto;bufalo;1
criceto;pollo;0
criceto;vitello;0
criceto;agnello;0
criceto;asino;0
criceto;cavallo;1
criceto;elefante;1
criceto;zebra;0
criceto;ippopotamo;0
criceto;scimmia;4
criceto;giraffa;1
criceto;antilopo;0
criceto;leone;0
criceto;rinoceronte;0
criceto;leopardo;0
criceto;coccodrillo;0
criceto;delfino;0
criceto;balena;0
criceto;squalo;0
criceto;medusa;0
criceto;tricheco;0
criceto;foca;0
criceto;plancton;0
criceto;merluzzo;0
criceto;granchio;0
criceto;tartaruga;5
criceto;gufo;0
criceto;corvo;0
criceto;pettirosso;0
criceto;albatro;0
criceto;upupa;0
criceto;gabbiano;0
criceto;aquila;0
criceto;anatra;0
criceto;struzzo;0
criceto;pinguino;0
criceto;tavolo;1
criceto;sedia;0
criceto;divano;2
criceto;scrivania;1
criceto;armadio;0
criceto;letto;2
criceto;comodino;0
criceto;sgabello;0
criceto;poltrona;0
criceto;scaffale;0
criceto;martello;0
criceto;trapano;0
criceto;cacciavite;0
criceto;chiodo;0
criceto;ascia;1
criceto;sega;0
criceto;vite;0
criceto;pinza;0
criceto;scalpello;0
criceto;cazzuola;0
criceto;cucchiaio;0
criceto;forchetta;0
criceto;coltello;0
criceto;piatto;0
criceto;tazza;0
criceto;pentola;0
criceto;ciotola;0
criceto;padella;0
criceto;mattarello;0
criceto;tagliere;0
criceto;penna;0
criceto;matita;0
criceto;gomma;0
criceto;carta;0
criceto;busta;0
criceto;evidenziatore;0
criceto;righello;0
criceto;pennello;0
criceto;colla;0
criceto;graffetta;0
criceto;telefono;0
criceto;radio;4
criceto;computer;2
criceto;frigorifero;0
criceto;lavatrice;0
criceto;lavastoviglie;0
criceto;camera;1
criceto;aspirapolvere;0
criceto;microonda;0
criceto;televisione;0
