Condition	time point	p-value	t-value
wrong	-0.1658203125	0.0033333333333332993	2.7321419372217384
wrong	-0.08769531250000001	0.023333333333333317	1.997592229195553
wrong	-0.06328125000000001	0.0	inf
wrong	-0.02910156250000001	0.020000000000000018	2.0627472420429416
wrong	-0.014453125000000011	0.020000000000000018	2.0627472420429416
wrong	0.05390624999999999	0.0	inf
wrong	0.05878906249999999	0.0	inf
wrong	0.06367187499999999	0.00666666666666671	2.4895647421707716
wrong	0.06855468749999999	0.040000000000000036	1.756656458005156
wrong	0.3712890625	0.030000000000000027	1.8879558102266485
wrong	0.376171875	0.043333333333333335	1.718905160438891
wrong	0.425	0.030000000000000027	1.8879558102266485
