Condition	time point	p-value	t-value
correct	-0.2	0.046666666666666745	1.6834417068750733
correct	0.2296875	0.0033333333333332993	2.7321419372217384
correct	0.258984375	0.00666666666666671	2.4895647421707716
correct	0.26875	0.033333333333333326	1.840629407786611
correct	0.3078125	0.023333333333333317	1.997592229195553
correct	0.36640625	0.010000000000000009	2.33888392484682
correct	0.571484375	0.043333333333333335	1.718905160438891
correct	0.83515625	0.046666666666666745	1.6834417068750733
correct	1.0890625	0.020000000000000018	2.0627472420429416
