Condition	time point	p-value	t-value
high	-0.14140625	0.020000000000000018	2.0627472420429416
high	-0.06328125000000001	0.046666666666666745	1.6834417068750733
high	0.014843749999999989	0.030000000000000027	1.8879558102266485
high	0.03437499999999999	0.01666666666666672	2.1379265281322697
high	0.551953125	0.0033333333333332993	2.7321419372217384
high	0.56171875	0.023333333333333317	1.997592229195553
high	0.6203125	0.0033333333333332993	2.7321419372217384
high	0.669140625	0.046666666666666745	1.6834417068750733
