Condition	time point	p-value	t-value
correct	-0.14140625	0.020000000000000018	2.0627472420429416
correct	-0.05351562500000001	0.010000000000000009	2.33888392484682
correct	-0.02421875000000001	0.013333333333333308	2.227371488366429
correct	0.014843749999999989	0.010000000000000009	2.33888392484682
correct	0.5421875	0.023333333333333317	1.997592229195553
correct	0.7375	0.030000000000000027	1.8879558102266485
correct	0.7765625	0.030000000000000027	1.8879558102266485
correct	0.786328125	0.043333333333333335	1.718905160438891
correct	0.95234375	0.043333333333333335	1.718905160438891
correct	0.962109375	0.036666666666666736	1.797071423179137
