Condition	time point	p-value	t-value
low	-0.10234375000000001	0.020000000000000018	2.0627472420429416
low	-0.06328125000000001	0.010000000000000009	2.33888392484682
low	-0.02421875000000001	0.033333333333333326	1.840629407786611
low	0.03437499999999999	0.046666666666666745	1.6834417068750733
low	0.21015625	0.040000000000000036	1.756656458005156
low	0.219921875	0.020000000000000018	2.0627472420429416
low	0.239453125	0.023333333333333317	1.997592229195553
low	0.75703125	0.043333333333333335	1.718905160438891
low	0.766796875	0.013333333333333308	2.227371488366429
