WORD,,AOA,,   FAM,,IMAG,,CONC,,Adult WrtFQ,,Child Written,,,Adult,,,,Lexical,PHON:,PHON:,,VOICE,MANNER,,,,,PLACE,,,,,,VOWEL,,,
Italian,English,mean,sd,mean,sd,mean,sd,mean,sd,ILC,CoLFIS,TotFQ,CompFQ,ProdFQ,SpkFQ,NSIZE,BIGR,SYL,LET,Stress,VOICE,MANN,voiced,stop,nasal,fricative,affricate,liquid,bilabial,labiodental,dental,alveolar,palatal,velar,vowel,RT,,
ASFALTO,asphalt,3.86,1.05,5.95,1.38,5.73,1.60,5.73,1.86,17,53,13,7,6,0,0,10.54,3,7,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,541,,
ASMA,asthma,5.23,1.41,4.93,1.86,3.64,1.93,5.70,1.76,4,24,0,0,0,3,2,10.58,2,4,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,497,,
ATLETA,athlete,4.34,0.94,6.50,0.82,5.25,1.54,6.32,1.14,14,40,14,14,0,2,0,10.44,3,6,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,532,,
ATRIO,foyer,5.18,1.45,4.68,1.68,4.59,1.82,6.02,1.19,5,21,11,10,1,0,0,11.38,2,5,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,529,,
AULA,classroom,3.20,0.90,6.36,1.08,5.77,1.52,5.93,1.37,17,197,158,29,129,9,3,10.71,2,4,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,500,,
AUTUNNO,autumn,2.77,0.86,6.66,0.86,4.64,1.95,4.70,2.15,126,140,143,42,101,3,0,10.57,3,7,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,480,,
BACO,worm,4.23,1.24,4.11,1.69,4.41,1.70,5.23,1.87,15,5,12,2,10,1,1,10.72,2,4,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,522,,
BALCONE,balcony,2.86,1.00,6.73,0.87,5.98,1.49,4.93,2.14,42,39,65,21,44,0,2,10.74,3,7,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,518,,
BANANA,banana,1.98,0.95,6.91,0.36,6.55,0.93,6.84,0.53,4,15,29,15,14,0,1,10.96,3,6,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,545,,
BARBA,beard,2.75,1.10,6.70,0.51,6.18,1.15,6.84,0.43,106,79,70,48,22,4,2,10.10,2,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,515,,
BASILICO,basil,3.75,1.10,6.09,1.24,6.07,1.30,6.50,1.25,8,23,0,0,0,2,1,10.77,4,8,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,530,,
BASTONE,stick,2.55,0.66,6.77,0.64,6.21,1.23,5.98,1.45,44,38,52,24,28,5,0,10.92,3,7,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,507,,
BATTELLO,boat,4.36,1.35,5.66,1.66,5.00,1.74,6.18,1.32,5,24,28,22,6,0,0,10.87,3,8,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,539,,
BATTESIMO,baptism,3.57,1.23,6.07,1.44,4.75,2.04,5.23,2.07,52,32,8,3,5,5,0,10.73,4,9,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,547,,
BATUFFOLO,cotton flock,4.20,1.50,5.30,1.46,5.39,1.60,6.50,1.07,1,4,12,3,9,0,0,9.95,4,9,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,575,,
BAVA,froth,3.55,1.27,5.48,1.70,4.86,1.64,4.64,2.04,8,3,0,0,0,1,5,10.69,2,4,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,547,,
BEFANA,"""befana""",1.93,0.66,6.59,0.66,5.25,1.86,4.66,2.27,2,22,27,13,14,0,0,10.34,3,6,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,502,,
BELVA,wild beast,4.30,1.15,5.93,1.42,4.68,1.60,5.75,1.56,8,12,14,11,3,0,3,10.26,2,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,521,,
