Concept(EN)	ConceptClass	Concept(IT)	Prod.Frequency	Rank	Feature	RelationType	FreqWaCKy	logFreqWaCKy	No.Letters	No.Syllables	No.Features	No.DistinguishingFeatures	Percent.DistinguishingFeatures	MeanDistinctivenessAcrossFeatures	MeanCueValidity	No.IntercorrelatedFeatures	Percent.IntercorrelatedFeatures	IntercorrelationalDensity	(Non)Distinguishing	Distinctiveness
bear	mammal	orso	5	8	beh_-_likes_honey	eb	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	D	1
bear	mammal	orso	5	8	is_dark_brown	ese	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	D	1
bear	mammal	orso	5	8	is_white	ese	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	ND	0.25
bed	furniture	letto	28	1	used_for_sleeping	sf	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	1
bed	furniture	letto	21	2	has_a_mattress	ece	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	1
bed	furniture	letto	13	3	used_for_lying_down	sf	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	1
bed	furniture	letto	11	4	has_pillows	se	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	1
bed	furniture	letto	10	5	has_blankets	se	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	1
bed	furniture	letto	8	6	has_a_board	ece	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	0.5
bed	furniture	letto	8	6	used_for_resting	sf	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	1
bed	furniture	letto	6	7	an_object	ch	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	ND	0.142857
bed	furniture	letto	6	7	furniture	ch	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	ND	0.2
bed	furniture	letto	6	7	has_4_legs	ece	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	ND	0.166667
bed	furniture	letto	6	7	is_comfortable	ie	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	0.5
bed	furniture	letto	5	8	a_place	ch	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	ND	0.333333
bed	furniture	letto	5	8	is_soft	ese	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	0.5
bridge	building	ponte	18	1	used_for_connecting_land	sf	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	10	2	a_construction	ch	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	ND	0.333333
bridge	building	ponte	9	3	found_over_rivers	sl	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	9	3	used_by_people	sp	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	8	4	used_for_crossing_rivers	sf	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	7	5	made_of_wood	em	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	ND	0.25
bridge	building	ponte	7	5	used_for_crossing	sf	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	6	6	is_high_off_ground	sl	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	5	7	a_structure	ch	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	5	7	made_of_concrete	em	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	5	7	used_by_cars	sp	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
broom	implement	scopa	22	1	has_a_handle	ece	4017	8.29829063435928	5	2	5	3	0.600000	0.600000	3.086945	3	1.000000	1.00404911965714	ND	0.25
broom	implement	scopa	19	2	has_bristles	ece	4017	8.29829063435928	5	2	5	3	0.600000	0.600000	3.086945	3	1.000000	1.00404911965714	D	0.5
broom	implement	scopa	17	3	used_for_floor_cleaning	sf	4017	8.29829063435928	5	2	5	3	0.600000	0.600000	3.086945	3	1.000000	1.00404911965714	D	1
broom	implement	scopa	12	4	used_for_cleaning	sf	4017	8.29829063435928	5	2	5	3	0.600000	0.600000	3.086945	3	1.000000	1.00404911965714	D	1
broom	implement	scopa	9	5	a_tool	ch	4017	8.29829063435928	5	2	5	3	0.600000	0.600000	3.086945	3	1.000000	1.00404911965714	ND	0.25
bus	vehicle	autobus	34	1	a_vehicle	ch	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	ND	0.2
bus	vehicle	autobus	27	2	used_for_transportation	sf	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	ND	0.166667
bus	vehicle	autobus	17	3	used_by_many_passengers	sp	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	0.5
bus	vehicle	autobus	14	4	is_public	iep	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	1
bus	vehicle	autobus	12	5	requires_a_fare	ic	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	1
bus	vehicle	autobus	10	6	is_large	ese	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	ND	0.111111
bus	vehicle	autobus	9	7	requires_drivers	ic	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	0.5
bus	vehicle	autobus	8	8	has_4_wheels	ece	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	0.5
bus	vehicle	autobus	8	8	has_seats	eci	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	1
bus	vehicle	autobus	8	8	makes_stops	sf	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	0.5
bus	vehicle	autobus	7	9	has_wheels	ece	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	0.5
bus	vehicle	autobus	7	9	used_by_passengers	sp	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	ND	0.25
bus	vehicle	autobus	5	10	follows_a_route	sf	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	1
bus	vehicle	autobus	5	10	found_in_cities	sl	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	1
bus	vehicle	autobus	5	10	used_for_travel	sf	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	0.5
chair	furniture	sedia	31	1	used_for_sitting	sf	27519	10.2226319541778	5	2	9	4	0.444444	0.495503	2.393977	12	0.800000	2.41719403338408	D	0.5
chair	furniture	sedia	17	2	has_4_legs	ece	27519	10.2226319541778	5	2	9	4	0.444444	0.495503	2.393977	12	0.800000	2.41719403338408	ND	0.166667
chair	furniture	sedia	14	3	has_a_back	ece	27519	10.2226319541778	5	2	9	4	0.444444	0.495503	2.393977	12	0.800000	2.41719403338408	D	1
chair	furniture	sedia	10	4	made_of_wood	em	27519	10.2226319541778	5	2	9	4	0.444444	0.495503	2.393977	12	0.800000	2.41719403338408	ND	0.25
chair	furniture	sedia	9	5	an_object	ch	27519	10.2226319541778	5	2	9	4	0.444444	0.495503	2.393977	12	0.800000	2.41719403338408	ND	0.142857
chair	furniture	sedia	8	6	furniture	ch	27519	10.2226319541778	5	2	9	4	0.444444	0.495503	2.393977	12	0.800000	2.41719403338408	ND	0.2
chair	furniture	sedia	7	7	made_of_different_materials	em	27519	10.2226319541778	5	2	9	4	0.444444	0.495503	2.393977	12	0.800000	2.41719403338408	ND	0.2
chair	furniture	sedia	5	8	found_at_tables	se	27519	10.2226319541778	5	2	9	4	0.444444	0.495503	2.393977	12	0.800000	2.41719403338408	D	1
chair	furniture	sedia	5	8	found_in_schools	sl	27519	10.2226319541778	5	2	9	4	0.444444	0.495503	2.393977	12	0.800000	2.41719403338408	D	1
chemise	clothing	camicia	27	1	clothing	ch	15531	9.65059330557001	7	3	8	7	0.875000	0.900000	3.492233	3	1.000000	1.5591580919043	ND	0.2
chemise	clothing	camicia	11	2	has_buttons	ece	15531	9.65059330557001	7	3	8	7	0.875000	0.900000	3.492233	3	1.000000	1.5591580919043	D	1
chemise	clothing	camicia	11	2	is_light	ese	15531	9.65059330557001	7	3	8	7	0.875000	0.900000	3.492233	3	1.000000	1.5591580919043	D	1
chemise	clothing	camicia	10	3	has_a_collar	ece	15531	9.65059330557001	7	3	8	7	0.875000	0.900000	3.492233	3	1.000000	1.5591580919043	D	1
chemise	clothing	camicia	6	4	has_long_sleeves	ece	15531	9.65059330557001	7	3	8	7	0.875000	0.900000	3.492233	3	1.000000	1.5591580919043	D	1
chemise	clothing	camicia	6	4	has_short_sleeves	ece	15531	9.65059330557001	7	3	8	7	0.875000	0.900000	3.492233	3	1.000000	1.5591580919043	D	1
chemise	clothing	camicia	5	5	is_elegant	ie	15531	9.65059330557001	7	3	8	7	0.875000	0.900000	3.492233	3	1.000000	1.5591580919043	D	1
chemise	clothing	camicia	5	5	worn_by_men	sp	15531	9.65059330557001	7	3	8	7	0.875000	0.900000	3.492233	3	1.000000	1.5591580919043	D	1
cherry	fruit	ciliegia	32	1	a_fruit	ch	5951	8.69131455164485	8	3	10	4	0.400000	0.453333	5.242933	15	0.714286	4.80619947514975	ND	0.2
cherry	fruit	ciliegia	32	1	is_red	ese	5951	8.69131455164485	8	3	10	4	0.400000	0.453333	5.242933	15	0.714286	4.80619947514975	ND	0.333333
cherry	fruit	ciliegia	24	2	has_a_pit	eci	5951	8.69131455164485	8	3	10	4	0.400000	0.453333	5.242933	15	0.714286	4.80619947514975	D	1
cherry	fruit	ciliegia	15	3	grows_on_trees	sl	5951	8.69131455164485	8	3	10	4	0.400000	0.453333	5.242933	15	0.714286	4.80619947514975	ND	0.25
cherry	fruit	ciliegia	12	4	is_small	ese	5951	8.69131455164485	8	3	10	4	0.400000	0.453333	5.242933	15	0.714286	4.80619947514975	ND	0.166667
cherry	fruit	ciliegia	10	5	is_round	ese	5951	8.69131455164485	8	3	10	4	0.400000	0.453333	5.242933	15	0.714286	4.80619947514975	ND	0.166667
cherry	fruit	ciliegia	10	5	tastes_sweet	esi	5951	8.69131455164485	8	3	10	4	0.400000	0.453333	5.242933	15	0.714286	4.80619947514975	ND	0.333333
cherry	fruit	ciliegia	8	6	grows_on_cherry_trees	sl	5951	8.69131455164485	8	3	10	4	0.400000	0.453333	5.242933	15	0.714286	4.80619947514975	D	1
cherry	fruit	ciliegia	8	6	is_edible	sa	5951	8.69131455164485	8	3	10	4	0.400000	0.453333	5.242933	15	0.714286	4.80619947514975	D	0.0833333
cherry	fruit	ciliegia	5	7	eaten_in_summer	st	5951	8.69131455164485	8	3	10	4	0.400000	0.453333	5.242933	15	0.714286	4.80619947514975	D	1
church	building	chiesa	21	1	a_place	ch	377345	12.8409151673271	6	2	9	6	0.666667	0.753086	4.575269	0	0.000000	0	ND	0.333333
church	building	chiesa	17	2	used_for_worshipping	sf	377345	12.8409151673271	6	2	9	6	0.666667	0.753086	4.575269	0	0.000000	0	D	1
church	building	chiesa	15	3	used_for_praying	sf	377345	12.8409151673271	6	2	9	6	0.666667	0.753086	4.575269	0	0.000000	0	D	1
church	building	chiesa	9	4	a_building	ch	377345	12.8409151673271	6	2	9	6	0.666667	0.753086	4.575269	0	0.000000	0	ND	0.333333
church	building	chiesa	6	5	has_an_altar	eci	377345	12.8409151673271	6	2	9	6	0.666667	0.753086	4.575269	0	0.000000	0	D	1
church	building	chiesa	6	5	is_large	ese	377345	12.8409151673271	6	2	9	6	0.666667	0.753086	4.575269	0	0.000000	0	ND	0.111111
church	building	chiesa	6	5	used_by_believers	sp	377345	12.8409151673271	6	2	9	6	0.666667	0.753086	4.575269	0	0.000000	0	D	1
church	building	chiesa	5	6	has_a_belltower	ece	377345	12.8409151673271	6	2	9	6	0.666667	0.753086	4.575269	0	0.000000	0	D	1
church	building	chiesa	5	6	is_sacred	iep	377345	12.8409151673271	6	2	9	6	0.666667	0.753086	4.575269	0	0.000000	0	D	1
closet	furniture	armadio	26	1	used_for_storing_clothing	sf	10816	9.28878179828274	7	3	10	6	0.600000	0.626111	4.072561	12	0.800000	4.56415894353311	D	1
closet	furniture	armadio	24	2	used_for_storing	sf	10816	9.28878179828274	7	3	10	6	0.600000	0.626111	4.072561	12	0.800000	4.56415894353311	D	0.5
closet	furniture	armadio	16	3	furniture	ch	10816	9.28878179828274	7	3	10	6	0.600000	0.626111	4.072561	12	0.800000	4.56415894353311	ND	0.2
closet	furniture	armadio	15	4	made_of_wood	em	10816	9.28878179828274	7	3	10	6	0.600000	0.626111	4.072561	12	0.800000	4.56415894353311	ND	0.25
closet	furniture	armadio	12	5	is_large	ese	10816	9.28878179828274	7	3	10	6	0.600000	0.626111	4.072561	12	0.800000	4.56415894353311	ND	0.111111
closet	furniture	armadio	10	6	has_doors	ece	10816	9.28878179828274	7	3	10	6	0.600000	0.626111	4.072561	12	0.800000	4.56415894353311	D	1
closet	furniture	armadio	8	7	has_shelves	eci	10816	9.28878179828274	7	3	10	6	0.600000	0.626111	4.072561	12	0.800000	4.56415894353311	D	1
closet	furniture	armadio	6	8	found_in_houses	sl	10816	9.28878179828274	7	3	10	6	0.600000	0.626111	4.072561	12	0.800000	4.56415894353311	D	1
closet	furniture	armadio	6	8	made_of_different_materials	em	10816	9.28878179828274	7	3	10	6	0.600000	0.626111	4.072561	12	0.800000	4.56415894353311	ND	0.2
closet	furniture	armadio	5	9	is_box_shaped	ese	10816	9.28878179828274	7	3	10	6	0.600000	0.626111	4.072561	12	0.800000	4.56415894353311	D	1
comb	implement	pettine	40	1	used_for_hair	se	3239	8.08301991917133	7	3	6	3	0.500000	0.607143	5.120609	5	0.833333	1.06743462542736	D	1
comb	implement	pettine	21	2	has_teeth	ece	3239	8.08301991917133	7	3	6	3	0.500000	0.607143	5.120609	5	0.833333	1.06743462542736	D	1
comb	implement	pettine	11	3	an_object	ch	3239	8.08301991917133	7	3	6	3	0.500000	0.607143	5.120609	5	0.833333	1.06743462542736	ND	0.142857
comb	implement	pettine	10	4	a_tool	ch	3239	8.08301991917133	7	3	6	3	0.500000	0.607143	5.120609	5	0.833333	1.06743462542736	ND	0.25
comb	implement	pettine	8	5	made_of_plastic	em	3239	8.08301991917133	7	3	6	3	0.500000	0.607143	5.120609	5	0.833333	1.06743462542736	D	1
comb	implement	pettine	5	6	has_a_handle	ece	3239	8.08301991917133	7	3	6	3	0.500000	0.607143	5.120609	5	0.833333	1.06743462542736	ND	0.25
corn	vegetable	mais	24	1	comes_on_cobs	ese	14128	9.55591392284374	4	1	10	7	0.700000	0.620000	6.484619	3	0.500000	0.855127775430865	D	1
corn	vegetable	mais	24	1	is_yellow	ese	14128	9.55591392284374	4	1	10	7	0.700000	0.620000	6.484619	3	0.500000	0.855127775430865	ND	0.25
corn	vegetable	mais	20	2	is_edible	sa	14128	9.55591392284374	4	1	10	7	0.700000	0.620000	6.484619	3	0.500000	0.855127775430865	D	0.0833333
corn	vegetable	mais	9	3	a_vegetable	ch	14128	9.55591392284374	4	1	10	7	0.700000	0.620000	6.484619	3	0.500000	0.855127775430865	ND	0.2
corn	vegetable	mais	8	4	has_kernels	ece	14128	9.55591392284374	4	1	10	7	0.700000	0.620000	6.484619	3	0.500000	0.855127775430865	D	1
corn	vegetable	mais	7	5	a_cereal	ch	14128	9.55591392284374	4	1	10	7	0.700000	0.620000	6.484619	3	0.500000	0.855127775430865	D	1
corn	vegetable	mais	7	5	is_small	ese	14128	9.55591392284374	4	1	10	7	0.700000	0.620000	6.484619	3	0.500000	0.855127775430865	ND	0.166667
corn	vegetable	mais	5	6	comes_from_America	sor	14128	9.55591392284374	4	1	10	7	0.700000	0.620000	6.484619	3	0.500000	0.855127775430865	D	0.5
corn	vegetable	mais	5	6	eaten_as_popcorn	se	14128	9.55591392284374	4	1	10	7	0.700000	0.620000	6.484619	3	0.500000	0.855127775430865	D	1
corn	vegetable	mais	5	6	grows_in_fields	sl	14128	9.55591392284374	4	1	10	7	0.700000	0.620000	6.484619	3	0.500000	0.855127775430865	D	1
dog	mammal	cane	31	1	an_animal	ch	117804	11.6767775054805	4	2	12	9	0.750000	0.601389	3.239552	25	0.892857	8.4566145605346	D	0.1
dog	mammal	cane	23	2	has_4_legs	ece	117804	11.6767775054805	4	2	12	9	0.750000	0.601389	3.239552	25	0.892857	8.4566145605346	ND	0.166667
dog	mammal	cane	16	3	is_domestic	sr	117804	11.6767775054805	4	2	12	9	0.750000	0.601389	3.239552	25	0.892857	8.4566145605346	D	0.5
dog	mammal	cane	16	3	is_man's_best_friend	sr	117804	11.6767775054805	4	2	12	9	0.750000	0.601389	3.239552	25	0.892857	8.4566145605346	D	1
