Condition	time point	p-value	t-value
correct	-0.12187500000000001	0.046666666666666745	1.6834417068750733
correct	0.07343749999999999	0.043333333333333335	1.718905160438891
correct	0.141796875	0.046666666666666745	1.6834417068750733
correct	0.180859375	0.00666666666666671	2.4895647421707716
correct	0.21015625	0.040000000000000036	1.756656458005156
correct	0.24921875	0.036666666666666736	1.797071423179137
correct	0.258984375	0.040000000000000036	1.756656458005156
correct	0.26875	0.0033333333333332993	2.7321419372217384
correct	0.669140625	0.020000000000000018	2.0627472420429416
correct	0.805859375	0.040000000000000036	1.756656458005156
correct	0.815625	0.046666666666666745	1.6834417068750733
