Condition	time point	p-value	t-value
correct	0.06367187499999999	0.043333333333333335	1.718905160438891
correct	0.07343749999999999	0.0033333333333332993	2.7321419372217384
correct	0.11249999999999999	0.023333333333333317	1.997592229195553
correct	0.12226562499999999	0.046666666666666745	1.6834417068750733
correct	0.17109375	0.0033333333333332993	2.7321419372217384
correct	0.21015625	0.046666666666666745	1.6834417068750733
correct	0.24921875	0.00666666666666671	2.4895647421707716
correct	0.26875	0.020000000000000018	2.0627472420429416
correct	0.3859375	0.043333333333333335	1.718905160438891
correct	0.591015625	0.043333333333333335	1.718905160438891
correct	0.844921875	0.030000000000000027	1.8879558102266485
correct	0.89375	0.01666666666666672	2.1379265281322697
correct	0.903515625	0.036666666666666736	1.797071423179137
correct	0.95234375	0.010000000000000009	2.33888392484682
