Condition	time point	p-value	t-value
correct	-0.170703125	0.046666666666666745	1.6834417068750733
correct	-0.11210937500000001	0.01666666666666672	2.1379265281322697
correct	-0.05351562500000001	0.033333333333333326	1.840629407786611
correct	-0.004687500000000011	0.040000000000000036	1.756656458005156
correct	0.005078124999999989	0.013333333333333308	2.227371488366429
correct	0.06367187499999999	0.023333333333333317	1.997592229195553
correct	0.3859375	0.026666666666666727	1.9398891657341626
correct	0.649609375	0.020000000000000018	2.0627472420429416
correct	0.844921875	0.00666666666666671	2.4895647421707716
correct	0.8546875	0.0033333333333332993	2.7321419372217384
correct	1.040234375	0.020000000000000018	2.0627472420429416
correct	1.05	0.036666666666666736	1.797071423179137
correct	1.059765625	0.01666666666666672	2.1379265281322697
correct	1.06953125	0.010000000000000009	2.33888392484682
correct	1.079296875	0.0033333333333332993	2.7321419372217384
correct	1.0890625	0.010000000000000009	2.33888392484682
