Condition	time point	p-value	t-value
correct	-0.004687500000000011	0.020000000000000018	2.0627472420429416
correct	0.005078124999999989	0.030000000000000027	1.8879558102266485
correct	0.014843749999999989	0.01666666666666672	2.1379265281322697
correct	0.727734375	0.010000000000000009	2.33888392484682
correct	0.7375	0.01666666666666672	2.1379265281322697
correct	0.747265625	0.023333333333333317	1.997592229195553
correct	0.8546875	0.043333333333333335	1.718905160438891
correct	0.87421875	0.01666666666666672	2.1379265281322697
correct	0.883984375	0.020000000000000018	2.0627472420429416
correct	0.91328125	0.033333333333333326	1.840629407786611
correct	0.923046875	0.030000000000000027	1.8879558102266485
correct	0.9328125	0.01666666666666672	2.1379265281322697
correct	0.942578125	0.033333333333333326	1.840629407786611
correct	0.95234375	0.043333333333333335	1.718905160438891
correct	0.962109375	0.026666666666666727	1.9398891657341626
correct	0.971875	0.030000000000000027	1.8879558102266485
correct	1.001171875	0.026666666666666727	1.9398891657341626
correct	1.0109375	0.020000000000000018	2.0627472420429416
correct	1.020703125	0.026666666666666727	1.9398891657341626
correct	1.05	0.046666666666666745	1.6834417068750733
correct	1.059765625	0.01666666666666672	2.1379265281322697
correct	1.06953125	0.013333333333333308	2.227371488366429
correct	1.079296875	0.043333333333333335	1.718905160438891
