,subject,word,log_frequency,length,coltheart_N,OLD_20,target,trial,category,accuracy,awareness
8517,15,tavolo,1.2575203688862868,-0.11849287583000447,-0.06500440399692362,-0.3895466044763345,0.5,5,-0.5,0.5,-1.0
8518,15,sega,-0.4377081241256331,-1.4350803850522784,1.7406734848065089,-1.141889832005737,-0.5,5,-0.5,0.5,0.0
8519,15,pinguino,-0.8419578929992353,1.1980946333922695,-0.7872755595182965,1.1151398505824703,-0.5,5,0.5,0.5,1.0
8520,15,medusa,-0.6465821739625884,-0.11849287583000447,-0.7872755595182965,0.6135776988962023,-0.5,6,0.5,0.5,1.0
8521,15,gatto,0.9178883516648404,-0.7767866304411414,2.1018090625671952,-1.141889832005737,0.5,6,0.5,0.5,1.0
8522,15,agnello,-0.0767871938264213,0.5398008787811325,-0.7872755595182965,0.5299840069484905,-0.5,6,0.5,0.5,1.0
8523,15,delfino,-0.01009964072992637,0.5398008787811325,-0.7872755595182965,0.6971713908439134,-0.5,6,0.5,0.5,1.0
8524,15,armadio,-0.11445840623957161,0.5398008787811325,-0.7872755595182965,1.0315461586347592,-0.5,6,-0.5,0.5,1.0
8525,15,coltello,0.18047362742052264,1.1980946333922695,-0.7872755595182965,0.5299840069484905,0.5,6,-0.5,0.5,1.0
8526,15,camera,2.181002780015194,-0.11849287583000447,-0.7872755595182965,-0.3895466044763345,0.5,6,-0.5,0.5,1.0
8527,15,topo,0.33560149716000465,-1.4350803850522784,2.1018090625671952,-1.3090772159011599,0.5,6,0.5,0.5,1.0
8528,15,coniglio,-0.04689733041102543,1.1980946333922695,-0.7872755595182965,0.8643587747393363,0.5,6,0.5,0.5,1.0
8529,15,leone,0.3081832856888728,-0.7767866304411414,-0.4261399817576101,-0.4731402964240459,0.5,6,0.5,0.5,1.0
8530,15,penna,0.4547845604312376,-0.7767866304411414,1.3795379070458222,-0.9747024481103144,-0.5,6,-0.5,0.5,1.0
8531,15,sega,-0.4377081241256331,-1.4350803850522784,1.7406734848065089,-1.141889832005737,-0.5,6,-0.5,0.5,1.0
8532,15,lavatrice,-0.5582796342079677,1.8563883880034064,-0.4261399817576101,1.0315461586347592,-0.5,6,-0.5,0.5,1.0
8533,15,tartaruga,-0.16734716171133607,1.8563883880034064,-0.7872755595182965,2.787013689536698,0.5,6,0.5,0.5,1.0
