Condition	time point	p-value	t-value
correct	0.09296874999999999	0.033333333333333326	1.840629407786611
correct	0.12226562499999999	0.0	inf
correct	0.13203125	0.033333333333333326	1.840629407786611
correct	0.190625	0.026666666666666727	1.9398891657341626
correct	0.200390625	0.036666666666666736	1.797071423179137
correct	0.21015625	0.010000000000000009	2.33888392484682
correct	0.219921875	0.010000000000000009	2.33888392484682
correct	0.239453125	0.010000000000000009	2.33888392484682
correct	0.24921875	0.01666666666666672	2.1379265281322697
correct	0.258984375	0.0033333333333332993	2.7321419372217384
correct	0.346875	0.046666666666666745	1.6834417068750733
correct	0.356640625	0.010000000000000009	2.33888392484682
correct	0.36640625	0.026666666666666727	1.9398891657341626
