Condition	time point	p-value	t-value
high	-0.18046875	0.033333333333333326	1.840629407786611
high	0.3859375	0.0	inf
high	0.503125	0.030000000000000027	1.8879558102266485
high	0.551953125	0.040000000000000036	1.756656458005156
high	0.571484375	0.036666666666666736	1.797071423179137
high	0.591015625	0.013333333333333308	2.227371488366429
high	0.60078125	0.00666666666666671	2.4895647421707716
high	0.63984375	0.013333333333333308	2.227371488366429
high	0.649609375	0.00666666666666671	2.4895647421707716
high	0.981640625	0.0	inf
high	1.020703125	0.026666666666666727	1.9398891657341626
