Condition	time point	p-value	t-value
high	-0.18046875	0.0	inf
high	-0.09257812500000001	0.040000000000000036	1.756656458005156
high	-0.08281250000000001	0.0033333333333332993	2.7321419372217384
high	-0.06328125000000001	0.0	inf
high	-0.05351562500000001	0.0033333333333332993	2.7321419372217384
high	-0.04375000000000001	0.026666666666666727	1.9398891657341626
high	-0.03398437500000001	0.040000000000000036	1.756656458005156
high	-0.02421875000000001	0.00666666666666671	2.4895647421707716
high	0.6984375	0.040000000000000036	1.756656458005156
high	0.708203125	0.013333333333333308	2.227371488366429
high	0.71796875	0.030000000000000027	1.8879558102266485
