Condition	time point	p-value	t-value
high	-0.190234375	0.040000000000000036	1.756656458005156
high	-0.151171875	0.046666666666666745	1.6834417068750733
high	-0.09257812500000001	0.046666666666666745	1.6834417068750733
high	-0.08281250000000001	0.036666666666666736	1.797071423179137
high	-0.03398437500000001	0.026666666666666727	1.9398891657341626
high	0.02460937499999999	0.01666666666666672	2.1379265281322697
high	0.11249999999999999	0.0	inf
high	1.0109375	0.033333333333333326	1.840629407786611
high	1.020703125	0.030000000000000027	1.8879558102266485
high	1.03046875	0.020000000000000018	2.0627472420429416
high	1.040234375	0.020000000000000018	2.0627472420429416
high	1.05	0.046666666666666745	1.6834417068750733
