Condition	time point	p-value	t-value
high	-0.170703125	0.036666666666666736	1.797071423179137
high	-0.03398437500000001	0.043333333333333335	1.718905160438891
high	0.09296874999999999	0.046666666666666745	1.6834417068750733
high	0.56171875	0.013333333333333308	2.227371488366429
high	0.591015625	0.013333333333333308	2.227371488366429
high	0.60078125	0.030000000000000027	1.8879558102266485
high	0.6203125	0.0033333333333332993	2.7321419372217384
high	0.63984375	0.01666666666666672	2.1379265281322697
high	0.67890625	0.010000000000000009	2.33888392484682
high	0.71796875	0.030000000000000027	1.8879558102266485
high	0.75703125	0.043333333333333335	1.718905160438891
high	0.805859375	0.030000000000000027	1.8879558102266485
high	0.83515625	0.040000000000000036	1.756656458005156
high	0.8546875	0.01666666666666672	2.1379265281322697
high	0.864453125	0.046666666666666745	1.6834417068750733
